,GEOID,pop_tot,state,county,tract,block group
252,1500000US360470481002,540.0,36,047,048100,2
253,1500000US360470488003,1841.0,36,047,048800,3
254,1500000US360470489003,1349.0,36,047,048900,3
255,1500000US360470490003,449.0,36,047,049000,3
256,1500000US360470491003,2446.0,36,047,049100,3
257,1500000US360470492002,736.0,36,047,049200,2
258,1500000US360470493021,1209.0,36,047,049302,1
259,1500000US360470493024,1076.0,36,047,049302,4
260,1500000US360470494003,2061.0,36,047,049400,3
261,1500000US360470495002,1420.0,36,047,049500,2
262,1500000US360470496001,1766.0,36,047,049600,1
263,1500000US360470497001,935.0,36,047,049700,1
264,1500000US360470498001,1299.0,36,047,049800,1
265,1500000US360470499001,813.0,36,047,049900,1
266,1500000US360470500012,944.0,36,047,050001,2
267,1500000US360470501002,1420.0,36,047,050100,2
268,1500000US360470502022,1331.0,36,047,050202,2
269,1500000US360470508012,2346.0,36,047,050801,2
270,1500000US360470508042,1794.0,36,047,050804,2
271,1500000US360470509002,3844.0,36,047,050900,2
272,1500000US360470510021,1924.0,36,047,051002,1
273,1500000US360470511001,1485.0,36,047,051100,1
274,1500000US360470511003,1570.0,36,047,051100,3
275,1500000US360470512003,1632.0,36,047,051200,3
276,1500000US360470513002,949.0,36,047,051300,2
277,1500000US360470514001,889.0,36,047,051400,1
278,1500000US360470514004,1974.0,36,047,051400,4
279,1500000US360470516012,1219.0,36,047,051601,2
280,1500000US360470516022,2086.0,36,047,051602,2
281,1500000US360470518001,524.0,36,047,051800,1
282,1500000US360470519001,2917.0,36,047,051900,1
283,1500000US360470519003,1311.0,36,047,051900,3
284,1500000US360470520003,746.0,36,047,052000,3
285,1500000US360470523003,1006.0,36,047,052300,3
286,1500000US360470528002,972.0,36,047,052800,2
287,1500000US360470529003,988.0,36,047,052900,3
288,1500000US360470530002,1670.0,36,047,053000,2
289,1500000US360470531012,1152.0,36,047,053101,2
290,1500000US360470532001,1505.0,36,047,053200,1
291,1500000US360470533002,1481.0,36,047,053300,2
292,1500000US360470533005,1037.0,36,047,053300,5
293,1500000US360470534003,1535.0,36,047,053400,3
294,1500000US360470535002,809.0,36,047,053500,2
295,1500000US360470537001,1008.0,36,047,053700,1
296,1500000US360470538002,2330.0,36,047,053800,2
